11.497	6.836	4.224	1.743	1.0	
7.347	4.159	1.931	1.0	NaN	
4.203	2.063	1.0	NaN	NaN	
2.516	1.404	NaN	NaN	NaN	
2.063	NaN	NaN	NaN	NaN	
