       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890134          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114394          20.01426873        -157.30132634        -137.28705761
    2100          57.86465886          18.45574056        -155.66814504        -137.21240447
    2200          60.48709290          19.29215718        -156.59447068        -137.30231349
    2300          53.81193895          17.16313902        -154.43944723        -137.27630821
    2400          59.52572191          18.98553110        -156.33952786        -137.35399675
    2500          58.92686584          18.79452795        -156.03041540        -137.23588746
    2600          61.65941063          19.66606402        -156.94491185        -137.27884783
    2700          58.81987814          18.76040458        -156.07031129        -137.30990671
    2800          53.15475458          16.95353225        -154.26693037        -137.31339812
    2900          54.95193244          17.52673616        -154.82877230        -137.30203614
    3000          55.99963491          17.86089737        -155.23428930        -137.37339193
    3100          56.97369869          18.17157178        -155.46229950        -137.29072772
    3200          54.82660579          17.48676364        -154.82425874        -137.33749511
    3300          58.17829063          18.55577237        -155.99088341        -137.43511104
    3400          57.28760842          18.27169224        -155.64132063        -137.36962839
    3500          55.43526482          17.68089341        -155.09613247        -137.41523906
    3600          55.08690720          17.56978591        -155.00142879        -137.43164288
    3700          56.84784013          18.13142961        -155.56343380        -137.43200419
    3800          51.62361252          16.46517958        -153.98184649        -137.51666691
    3900          52.18976769          16.64575289        -154.10782372        -137.46207082
    4000          52.04645847          16.60004489        -153.99307919        -137.39303430
    4100          56.74067545          18.09724979        -155.56810385        -137.47085406
    4200          51.99624299          16.58402883        -154.04217180        -137.45814297
    4300          51.52701996          16.43437171        -153.89675461        -137.46238291
    4400          53.09350465          16.93399679        -154.37346349        -137.43946670
    4500          55.30075915          17.63799327        -154.99904105        -137.36104777
    4600          50.51881463          16.11280797        -153.47717451        -137.36436654
    4700          54.82585888          17.48652541        -154.81945136        -137.33292595
    4800          51.59247170          16.45524732        -153.92951286        -137.47426554
    4900          44.27808312          14.12234740        -151.45794455        -137.33559715
    5000          51.14781689          16.31342615        -153.75322048        -137.43979433
    5100          51.13674651          16.30989529        -153.74505478        -137.43515949
    5200          52.41460105          16.71746275        -153.99553298        -137.27807023
    5300          57.24986507          18.25965413        -155.59303672        -137.33338259
    5400          53.18554862          16.96335391        -154.34756725        -137.38421334
    5500          53.45887432          17.05053023        -154.44631889        -137.39578866
    5600          51.33813345          16.37412698        -153.86767144        -137.49354446
    5700          50.75177052          16.18710847        -153.62210622        -137.43499775
    5800          50.67834974          16.16369116        -153.52048213        -137.35679097
    5900          53.43394002          17.04257752        -154.46175513        -137.41917761
    6000          54.99453863          17.54032526        -154.96738312        -137.42705786
    6100          51.14546176          16.31267499        -153.66144871        -137.34877372
    6200          48.63152755          15.51086403        -152.81970416        -137.30884013
    6300          54.65453954          17.43188368        -154.78808625        -137.35620257
    6400          55.46467630          17.69027411        -155.02280995        -137.33253585
    6500          51.98461954          16.58032157        -153.93230828        -137.35198670
    6600          54.21578068          17.29194300        -154.70282584        -137.41088284
    6700          51.39621740          16.39265267        -153.70582184        -137.31316918
    6800          50.42069736          16.08151379        -153.41034295        -137.32882916
    6900          50.09987917          15.97918990        -153.30396738        -137.32477748
    7000          57.89502965          18.46542723        -155.92442511        -137.45899788
    7100          50.14248812          15.99277988        -153.45189170        -137.45911182
    7200          54.08475535          17.25015291        -154.65401551        -137.40386260
    7300          50.52513547          16.11482398        -153.51487075        -137.40004677
    7400          51.93666632          16.56502705        -153.98109548        -137.41606843
    7500          53.03068660          16.91396118        -154.25585051        -137.34188933
    7600          50.17367725          16.00272755        -153.37606700        -137.37333946
    7700          52.70868181          16.81125882        -154.11372893        -137.30247011
    7800          56.78595819          18.11169257        -155.43836728        -137.32667471
    7900          52.95043192          16.88836422        -154.32023166        -137.43186744
    8000          55.00643436          17.54411936        -155.01502772        -137.47090836
    8100          55.63322823          17.74403318        -155.23034297        -137.48630978
    8200          44.91954562          14.32693973        -151.72606500        -137.39912527
    8300          59.48426588          18.97230884        -156.33358925        -137.36128041
    8400          47.88417621          15.27249880        -152.60524175        -137.33274295
    8500          55.13917460          17.58645642        -154.98614054        -137.39968412
    8600          57.07168502          18.20282419        -155.73988906        -137.53706487
    8700          58.77832452          18.74715119        -156.20221456        -137.45506337
    8800          56.30757948          17.95911527        -155.45707827        -137.49796300
    8900          53.64043811          17.10843940        -154.54784310        -137.43940370
    9000          52.81745325          16.84595112        -154.30817783        -137.46222671
    9100          50.68297422          16.16516612        -153.65117200        -137.48600587
    9200          53.21342517          16.97224504        -154.36840341        -137.39615837
